,feature,group,avgExpr,logFC,statistic,auc,pval,padj,pct_in,pct_out,gene
149,MA0723.1,0,-0.330245110298654,-0.352269127239904,4059076,0.400180378495129,9.34599479319161e-33,3.04949211551046e-32,100,100,VAX2
150,MA0724.1,0,-0.241656402846899,-0.250415894998255,4363991,0.430241653551039,8.08425490005058e-17,1.74058957541905e-16,100,100,VENTX
151,MA0725.1,0,-0.306636036468084,-0.319368216426004,4154947,0.409632207696333,3.79547754342594e-27,1.049142919209e-26,100,100,VSX1
152,MA0726.1,0,-0.306636036468084,-0.319368216426004,4154947,0.409632207696333,3.79547754342594e-27,1.049142919209e-26,100,100,VSX2
153,MA0112.3,0,-0.363153592793036,-0.345087438063404,4284506,0.422405304247728,1.93699616093819e-20,4.57506929057415e-20,100,100,ESR1
154,MA0141.3,0,-0.600795581961239,-0.625529908193552,3549843,0.349975589355382,9.04646027479223e-72,6.50728335675396e-71,100,100,ESRRB
155,MA0017.2,0,-0.587237997029291,-0.588631558435771,3714378,0.36619693593172,1.82684945818987e-57,1.06091349269191e-56,100,100,NR2F1
156,MA0113.3,0,-0.190229471951367,-0.176784570116692,4600060,0.453515468027774,2.84333279672725e-08,4.47718820977201e-08,100,100,NR3C1
157,MA0727.1,0,-0.221066745892655,-0.211392626202764,4494009,0.443060002468669,1.05106077378267e-11,1.90091848515552e-11,100,100,NR3C2
158,MA0729.1,0,-0.334033546340922,-0.311894469049851,4291289,0.423074033659873,4.08093379108783e-20,9.49717312411248e-20,100,100,RARA
159,MA0730.1,0,-0.372521113899435,-0.371921139746026,4115285,0.40572196946185,2.11619671366482e-29,6.3186439610841e-29,100,100,RARA(var.2)
160,MA0731.1,0,-0.363371339107205,-0.378845594462743,4102155,0.404427495456031,3.62051193106537e-30,1.10714205428231e-29,100,100,BCL6B
161,MA0472.2,0,-0.151834134158578,-0.129260402916116,4696388.5,0.463012401711663,1.00187276620496e-05,1.39996790509435e-05,100,100,EGR2
162,MA0732.1,0,-0.0523423335138374,-0.0292017153544575,4990862,0.492044259377493,0.342108434341955,0.363957376367155,100,100,EGR3
163,MA0733.1,0,-0.199669526790879,-0.191053159936405,4501983,0.443846151419347,2.00779570627213e-11,3.59687786735943e-11,100,100,EGR4
164,MA0735.1,0,-0.0939259713464511,-0.0674326960861445,4889165,0.482018050468909,0.0317725624809482,0.0362378955863787,100,100,GLIS1
165,MA0736.1,0,-0.131209245586457,-0.0930925078337937,4852982,0.478450803480903,0.0100753194508313,0.0120789341143489,100,100,GLIS2
166,MA0737.1,0,-0.128834890965509,-0.106974465323602,4775841,0.470845546871395,0.000498809607027738,0.000643068189915597,100,100,GLIS3
167,MA0738.1,0,-0.455172494068856,-0.450104201695518,3914657.5,0.385942298205009,3.05034059342483e-42,1.31351401063804e-41,100,100,HIC2
168,MA0740.1,0,0.171533457119759,0.207433084305593,6019781,0.59348438882095,6.17418442564704e-29,1.80937904696045e-28,100,100,KLF14
169,MA0741.1,0,0.041943208985234,0.0716502194400836,5491019,0.541354254451985,7.88464113338996e-07,1.13689700169381e-06,100,100,KLF16
170,MA0747.1,0,0.089051363456591,0.121846710775594,5678353,0.55982333239608,9.08934446481092e-13,1.70223522077672e-12,100,100,SP8
171,MA0749.1,0,-0.153580169528178,-0.182539461684706,4555121,0.449084975465133,1.20276248931279e-09,2.00883550325857e-09,100,100,ZBED1
172,MA0751.1,0,-0.0907012725088468,-0.0583047548291932,4886106,0.481716466616373,0.0290157005177991,0.0333338265476712,100,100,ZIC4
173,MA0088.2,0,-0.195033688555457,-0.170033141606593,4616839.5,0.455169742710228,8.63745627032535e-08,1.32706549007669e-07,100,100,ZNF143
174,MA0752.1,0,-0.0142273068355403,0.00423976129745876,5074831,0.500322681905639,0.969268057246442,0.970801709235756,100,100,ZNF410
175,MA0754.1,0,0.111155125025494,0.133543727776269,5421213,0.534472148400945,3.84847638624052e-05,5.21645728584635e-05,100,100,CUX1
176,MA0755.1,0,0.0692184900260446,0.0863431366899456,5323341,0.524823042544323,0.00303499509029689,0.00375224978937096,100,100,CUX2
177,MA0756.1,0,0.145478881788417,0.20812541743499,5709642,0.562908084655642,5.82334140025806e-14,1.14477487775259e-13,100,100,ONECUT2
178,MA0757.1,0,0.169390976617185,0.227402292000187,5818444,0.573634768645059,1.45758229826144e-18,3.33086496317505e-18,100,100,ONECUT3
179,MA0758.1,0,0.00067429384437062,0.0493679215699839,5257985,0.51837965769099,0.0281814227087085,0.0324342555902045,100,100,E2F7
180,MA0759.1,0,-0.0926458435022925,-0.105662278375148,4870700,0.480197603971009,0.0180474070601202,0.0212737591602534,100,100,ELK3
181,MA0760.1,0,0.171024365022822,0.182155199543189,5506454,0.542875976179312,3.05675565307988e-07,4.46865202863641e-07,100,100,ERF
182,MA0474.2,0,0.110347518088512,0.117251450038596,5375179,0.529933700846959,0.000350969414638916,0.000454322371097002,100,100,ERG
183,MA0098.3,0,0.159005221253518,0.17159877131775,5472566,0.539534991022483,2.34735379403952e-06,3.36170803535523e-06,100,100,ETS1
184,MA0762.1,0,0.587776234175239,0.667961767273585,6607260,0.651403375451883,4.62912192268388e-73,3.40724904309174e-72,100,100,ETV2
185,MA0763.1,0,0.0170532420395667,0.0270476294664831,5186635,0.5113453301727,0.175492043392338,0.191198732301808,100,100,ETV3
186,MA0156.2,0,0.127024083694857,0.139757434680152,5458541,0.538152279831957,5.2175115996852e-06,7.37206438080521e-06,100,100,FEV
187,MA0767.1,0,-0.107098028970296,-0.0939688301002899,4815365.5,0.474742229113815,0.00256063162677931,0.00318443972446229,100,100,GCM2
188,MA0768.1,0,0.849518717267078,0.991744720216379,7331462,0.722801750468002,5.89942785436978e-156,1.03731606439335e-154,100,100,LEF1
189,MA0770.1,0,-0.40850274984414,-0.434430956840281,3943485,0.388784373559368,3.00343709638199e-40,1.24259848497373e-39,100,100,HSF2
190,MA0771.1,0,-0.237265526907559,-0.242754427681764,4447000,0.43842543060732,1.94161246389281e-13,3.7700634651661e-13,100,100,HSF4
191,MA0772.1,0,-0.679236631829927,-0.637024114382603,3953311,0.389753109399518,1.39851168622408e-39,5.56765973194871e-39,100,100,IRF7
192,MA0773.1,0,-0.475538786051188,-0.444755470704315,3879841,0.38250977313086,1.02477578551539e-44,4.76972847228854e-44,100,100,MEF2D
193,MA0498.2,0,0.0927690066755943,0.112465862443852,5383592,0.530763130383208,0.000239259377403116,0.000312915673339199,100,100,MEIS1
